frame_idx,track_id,cls_id,conf,x1,y1,x2,y2
46,7,2,0.4829,1504,379,1765,514
46,8,2,0.4467,894,1075,1338,1387
46,9,2,0.6760,2124,1013,2484,1232
46,10,2,0.4508,592,257,877,381
46,12,2,0.5165,543,101,806,237
46,13,2,0.3657,816,659,1140,829
46,14,2,0.3717,872,488,1165,627
46,15,2,0.3580,1769,469,2058,619
46,16,2,0.5805,2298,105,2511,211
46,17,2,0.3522,1286,7,1524,127
46,18,2,0.4211,1819,690,2145,861
46,19,2,0.4033,2002,750,2249,884
46,20,2,0.5588,514,0,756,81
46,21,2,0.3571,2030,856,2315,1045
47,1,2,0.7082,1609,490,1920,656
47,2,2,0.3741,2360,1236,2558,1437
47,3,2,0.4089,2375,1248,2558,1437
47,5,2,0.5668,648,425,968,568
47,6,2,0.4541,878,1157,1338,1437
47,7,2,0.4399,1503,402,1770,529
47,8,2,0.4467,894,1075,1338,1387
47,9,2,0.6378,2126,1023,2491,1255
47,10,2,0.4791,584,275,865,401
47,12,2,0.5165,543,101,806,237
47,13,2,0.3658,788,736,1125,915
47,14,2,0.3717,872,488,1165,627
47,15,2,0.3580,1769,469,2058,619
47,16,2,0.6292,2300,112,2514,218
47,17,2,0.3522,1286,7,1524,127
